Row,state_fips_code,county_fips_code,block_group_fips_code,block_geo_id,county_geo_id,state_name,county_name,state,block_year,county_year,block_adi_percent,county_adi_percent
151,1,10,10070100012,15000US010070100012,05000US01007,Alabama,Bibb County,AL,2018,2018,83,70
152,1,10,10070100021,15000US010070100021,05000US01007,Alabama,Bibb County,AL,2018,2018,74,70
153,1,10,10070100022,15000US010070100022,05000US01007,Alabama,Bibb County,AL,2018,2018,83,70
154,1,10,10070100023,15000US010070100023,05000US01007,Alabama,Bibb County,AL,2018,2018,64,70
155,1,10,10070100031,15000US010070100031,05000US01007,Alabama,Bibb County,AL,2018,2018,40,70
156,1,10,10070100032,15000US010070100032,05000US01007,Alabama,Bibb County,AL,2018,2018,70,70
157,1,10,10070100033,15000US010070100033,05000US01007,Alabama,Bibb County,AL,2018,2018,35,70
158,1,10,10070100034,15000US010070100034,05000US01007,Alabama,Bibb County,AL,2018,2018,71,70
159,1,10,10070100041,15000US010070100041,05000US01007,Alabama,Bibb County,AL,2018,2018,63,70
160,1,10,10070100042,15000US010070100042,05000US01007,Alabama,Bibb County,AL,2018,2018,65,70
161,1,10,10070100043,15000US010070100043,05000US01007,Alabama,Bibb County,AL,2018,2018,59,70
162,1,10,10070100044,15000US010070100044,05000US01007,Alabama,Bibb County,AL,2018,2018,67,70
163,1,10,10070100045,15000US010070100045,05000US01007,Alabama,Bibb County,AL,2018,2018,87,70
164,1,10,10070100046,15000US010070100046,05000US01007,Alabama,Bibb County,AL,2018,2018,72,70
165,1,10,10090501011,15000US010090501011,05000US01009,Alabama,Blount County,AL,2018,2018,76,61
166,1,10,10090501012,15000US010090501012,05000US01009,Alabama,Blount County,AL,2018,2018,84,61
167,1,10,10090501013,15000US010090501013,05000US01009,Alabama,Blount County,AL,2018,2018,72,61
168,1,10,10090501014,15000US010090501014,05000US01009,Alabama,Blount County,AL,2018,2018,58,61
169,1,10,10090501015,15000US010090501015,05000US01009,Alabama,Blount County,AL,2018,2018,70,61
170,1,10,10090501021,15000US010090501021,05000US01009,Alabama,Blount County,AL,2018,2018,43,61
171,1,10,10090501022,15000US010090501022,05000US01009,Alabama,Blount County,AL,2018,2018,84,61
172,1,10,10090501023,15000US010090501023,05000US01009,Alabama,Blount County,AL,2018,2018,70,61
173,1,10,10090501024,15000US010090501024,05000US01009,Alabama,Blount County,AL,2018,2018,34,61
174,1,10,10090502001,15000US010090502001,05000US01009,Alabama,Blount County,AL,2018,2018,69,61
175,1,10,10090502002,15000US010090502002,05000US01009,Alabama,Blount County,AL,2018,2018,60,61
176,1,10,10090503001,15000US010090503001,05000US01009,Alabama,Blount County,AL,2018,2018,86,61
177,1,10,10090503002,15000US010090503002,05000US01009,Alabama,Blount County,AL,2018,2018,93,61
178,1,10,10090503003,15000US010090503003,05000US01009,Alabama,Blount County,AL,2018,2018,68,61
179,1,10,10090503004,15000US010090503004,05000US01009,Alabama,Blount County,AL,2018,2018,58,61
180,1,10,10090504001,15000US010090504001,05000US01009,Alabama,Blount County,AL,2018,2018,62,61
181,1,10,10090504002,15000US010090504002,05000US01009,Alabama,Blount County,AL,2018,2018,82,61
182,1,10,10090504003,15000US010090504003,05000US01009,Alabama,Blount County,AL,2018,2018,83,61
183,1,10,10090504004,15000US010090504004,05000US01009,Alabama,Blount County,AL,2018,2018,66,61
184,1,10,10090505001,15000US010090505001,05000US01009,Alabama,Blount County,AL,2018,2018,68,61
185,1,10,10090505002,15000US010090505002,05000US01009,Alabama,Blount County,AL,2018,2018,85,61
186,1,10,10090505003,15000US010090505003,05000US01009,Alabama,Blount County,AL,2018,2018,83,61
187,1,10,10090505004,15000US010090505004,05000US01009,Alabama,Blount County,AL,2018,2018,59,61
188,1,10,10090505005,15000US010090505005,05000US01009,Alabama,Blount County,AL,2018,2018,57,61
189,1,10,10090506011,15000US010090506011,05000US01009,Alabama,Blount County,AL,2018,2018,60,61
190,1,10,10090506012,15000US010090506012,05000US01009,Alabama,Blount County,AL,2018,2018,33,61
191,1,10,10090506021,15000US010090506021,05000US01009,Alabama,Blount County,AL,2018,2018,62,61
192,1,10,10090506022,15000US010090506022,05000US01009,Alabama,Blount County,AL,2018,2018,31,61
193,1,10,10090506023,15000US010090506023,05000US01009,Alabama,Blount County,AL,2018,2018,49,61
194,1,10,10090506024,15000US010090506024,05000US01009,Alabama,Blount County,AL,2018,2018,32,61
195,1,10,10090506025,15000US010090506025,05000US01009,Alabama,Blount County,AL,2018,2018,55,61
196,1,10,10090507001,15000US010090507001,05000US01009,Alabama,Blount County,AL,2018,2018,69,61
197,1,10,10090507002,15000US010090507002,05000US01009,Alabama,Blount County,AL,2018,2018,70,61
198,1,10,10090507003,15000US010090507003,05000US01009,Alabama,Blount County,AL,2018,2018,55,61
199,1,10,10090507004,15000US010090507004,05000US01009,Alabama,Blount County,AL,2018,2018,67,61
200,1,10,10119521001,15000US010119521001,05000US01011,Alabama,Bullock County,AL,2018,2018,93,98
